Movie Name,Movie Stars
Manchester by the Sea (2016) ,Kyle Chandler
Dangal (2016) ,Aamir Khan
Dangal (2016) ,Sakshi Tanwar
Dangal (2016) ,Fatima Sana Shaikh
10 Cloverfield Lane (2016) ,John Goodman
10 Cloverfield Lane (2016) ,Mary Elizabeth Winstead
10 Cloverfield Lane (2016) ,John Gallagher Jr.
Hidden Figures (2016) ,Taraji P. Henson
Hidden Figures (2016) ,Octavia Spencer
Hidden Figures (2016) ,Janelle Monáe
Florence Foster Jenkins (2016) ,Meryl Streep
Florence Foster Jenkins (2016) ,Hugh Grant
Florence Foster Jenkins (2016) ,Simon Helberg
The Invisible Guest (2016) ,Mario Casas
The Invisible Guest (2016) ,Ana Wagener
The Invisible Guest (2016) ,Jose Coronado
I'm Gilda (2016) ,Natalia Oreiro
I'm Gilda (2016) ,Lautaro Delgado
I'm Gilda (2016) ,Javier Drolas
Deepwater Horizon (2016) ,Mark Wahlberg
Deepwater Horizon (2016) ,Kurt Russell
Deepwater Horizon (2016) ,Douglas M. Griffin
The Edge of Seventeen (2016) ,Hailee Steinfeld
The Edge of Seventeen (2016) ,Haley Lu Richardson
The Edge of Seventeen (2016) ,Blake Jenner
The Magnificent Seven (2016) ,Denzel Washington
The Magnificent Seven (2016) ,Chris Pratt
The Magnificent Seven (2016) ,Ethan Hawke
The Shallows (2016) ,Blake Lively
The Shallows (2016) ,Óscar Jaenada
The Shallows (2016) ,Angelo Josue Lozano Corzo
X-Men: Apocalypse (2016) ,James McAvoy
X-Men: Apocalypse (2016) ,Michael Fassbender
X-Men: Apocalypse (2016) ,Jennifer Lawrence
Hush (2016) ,John Gallagher Jr.
Hush (2016) ,Kate Siegel
Hush (2016) ,Michael Trucco
Captain America: Civil War (2016) ,Chris Evans
Captain America: Civil War (2016) ,Robert Downey Jr.
Captain America: Civil War (2016) ,Scarlett Johansson
¿Qué culpa tiene el niño? (2016) ,Karla Souza
¿Qué culpa tiene el niño? (2016) ,Ricardo Abarca
¿Qué culpa tiene el niño? (2016) ,Biassini Segura
War Dogs (2016) ,Jonah Hill
War Dogs (2016) ,Miles Teller
War Dogs (2016) ,Steve Lantz
A Monster Calls (2016) ,Lewis MacDougall
A Monster Calls (2016) ,Sigourney Weaver
A Monster Calls (2016) ,Felicity Jones
"I, Daniel Blake (2016) ",Dave Johns
"I, Daniel Blake (2016) ",Hayley Squires
"I, Daniel Blake (2016) ",Sharon Percy
Lights Out (2016) ,Teresa Palmer
Lights Out (2016) ,Gabriel Bateman
Lights Out (2016) ,Maria Bello
The Innocents (2016) ,Lou de Laâge
The Innocents (2016) ,Agata Buzek
The Innocents (2016) ,Agata Kulesza
Rogue One (2016) ,Felicity Jones
Rogue One (2016) ,Diego Luna
Rogue One (2016) ,Alan Tudyk
13 Hours (2016) ,John Krasinski
13 Hours (2016) ,Pablo Schreiber
13 Hours (2016) ,James Badge Dale
Fantastic Beasts and Where to Find Them (2016) ,Eddie Redmayne
Fantastic Beasts and Where to Find Them (2016) ,Katherine Waterston
Fantastic Beasts and Where to Find Them (2016) ,Alison Sudol
The Autopsy of Jane Doe (2016) ,Brian Cox
The Autopsy of Jane Doe (2016) ,Emile Hirsch
The Autopsy of Jane Doe (2016) ,Ophelia Lovibond
American Honey (2016) ,Sasha Lane
American Honey (2016) ,Shia LaBeouf
American Honey (2016) ,Riley Keough
The Founder (2016) ,Michael Keaton
The Founder (2016) ,Nick Offerman
The Founder (2016) ,John Carroll Lynch
Brooklyn (2015) ,Saoirse Ronan
Brooklyn (2015) ,Emory Cohen
Brooklyn (2015) ,Domhnall Gleeson
The Big Short (2015) ,Christian Bale
The Big Short (2015) ,Steve Carell
The Big Short (2015) ,Ryan Gosling
Mad Max: Fury Road (2015) ,Tom Hardy
Mad Max: Fury Road (2015) ,Charlize Theron
Mad Max: Fury Road (2015) ,Nicholas Hoult
Sicario (2015) ,Emily Blunt
Sicario (2015) ,Josh Brolin
Sicario (2015) ,Benicio Del Toro
When Marnie Was There (2014) ,Sara Takatsuki
When Marnie Was There (2014) ,Kasumi Arimura
When Marnie Was There (2014) ,Nanako Matsushima
The Martian (2015) ,Matt Damon
The Martian (2015) ,Jessica Chastain
The Martian (2015) ,Kristen Wiig
The Revenant (2015) ,Leonardo DiCaprio
The Revenant (2015) ,Tom Hardy
The Revenant (2015) ,Will Poulter
Anomalisa (2015) ,David Thewlis
Anomalisa (2015) ,Jennifer Jason Leigh
